run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
3,47,43,43,PAYMENT,0,0,0
3,75,71,71,PAYMENT,0,0,0
3,102,54,54,PAYMENT,0,0,0
3,340,237,237,STOCK_LEVEL,0,0,0
3,4045,3705,3705,NEW_ORDER,0,0,0
3,4966,4890,4890,NEW_ORDER,0,0,0
3,5523,1477,1477,NEW_ORDER,0,0,0
3,5558,34,34,PAYMENT,0,0,0
3,5583,24,24,PAYMENT,0,0,0
3,5607,23,23,PAYMENT,0,0,0
3,8428,2821,2821,NEW_ORDER,0,0,0
3,8458,29,29,PAYMENT,0,0,0
3,8654,3687,3687,NEW_ORDER,0,0,0
3,10351,1893,1893,NEW_ORDER,0,0,0
3,10381,29,29,PAYMENT,0,0,0
3,10407,25,25,PAYMENT,0,0,0
3,10467,60,60,PAYMENT,0,0,0
3,13405,4751,4751,NEW_ORDER,0,0,0
3,13616,210,210,ORDER_STATUS,0,0,0
3,14155,3688,3688,NEW_ORDER,0,0,0
3,14186,31,31,PAYMENT,0,0,0
3,17270,3653,3653,NEW_ORDER,0,0,0
3,17298,27,27,PAYMENT,0,0,0
3,17299,0,0,DELIVERY,0,0,0
3,19120,4933,4933,NEW_ORDER,0,0,0
3,19155,34,34,PAYMENT,0,0,0
3,19179,23,23,PAYMENT,0,0,0
3,19210,31,31,PAYMENT,0,0,0
3,21356,2145,2145,NEW_ORDER,0,0,0
3,21387,30,30,PAYMENT,0,0,0
3,21398,4099,4099,DELIVERY_BG,0,0,0
3,21693,295,295,ORDER_STATUS,0,0,0
3,24200,2813,2813,NEW_ORDER,0,0,0
3,24944,3251,3251,NEW_ORDER,1,0,0
3,26339,2139,2139,NEW_ORDER,0,0,0
3,26366,26,26,PAYMENT,0,0,0
3,28742,3798,3798,NEW_ORDER,0,0,0
3,28771,28,28,PAYMENT,0,0,0
3,29868,3501,3501,NEW_ORDER,0,0,0
3,30118,249,249,ORDER_STATUS,0,0,0
3,30146,28,28,PAYMENT,0,0,0
3,30171,24,24,PAYMENT,0,0,0
3,33375,4604,4604,NEW_ORDER,0,0,0
3,33533,3362,3362,NEW_ORDER,0,0,0
3,35858,2325,2325,NEW_ORDER,0,0,0
3,38267,4892,4892,NEW_ORDER,0,0,0
3,38306,38,38,PAYMENT,0,0,0
3,39571,3713,3713,NEW_ORDER,0,0,0
3,39599,28,28,PAYMENT,0,0,0
3,42180,3873,3873,NEW_ORDER,0,0,0
3,42208,28,28,PAYMENT,0,0,0
3,43204,3604,3604,NEW_ORDER,0,0,0
3,43261,1052,1052,PAYMENT,0,0,0
3,43291,30,30,PAYMENT,0,0,0
3,45416,2125,2125,NEW_ORDER,0,0,0
3,45444,27,27,PAYMENT,0,0,0
3,47405,4201,4201,NEW_ORDER,0,0,0
3,47437,32,32,PAYMENT,0,0,0
3,47437,0,0,DELIVERY,0,0,0
3,50277,4833,4833,NEW_ORDER,0,0,0
3,52045,4608,4608,DELIVERY_BG,0,0,0
3,52091,46,46,PAYMENT,0,0,0
3,52126,35,35,PAYMENT,0,0,0
3,52798,2521,2521,NEW_ORDER,0,0,0
3,52823,25,25,PAYMENT,0,0,0
3,55920,3794,3794,NEW_ORDER,0,0,0
3,57188,4364,4364,NEW_ORDER,0,0,0
3,57214,25,25,PAYMENT,0,0,0
3,57450,236,236,ORDER_STATUS,0,0,0
3,58012,2091,2091,NEW_ORDER,0,0,0
3,58038,588,588,PAYMENT,0,0,0
3,60269,2256,2256,NEW_ORDER,0,0,0
3,62320,4282,4282,NEW_ORDER,0,0,0
3,62347,26,26,PAYMENT,0,0,0
3,62375,27,27,PAYMENT,0,0,0
3,64930,4661,4661,NEW_ORDER,0,0,0
3,66585,4209,4209,NEW_ORDER,0,0,0
3,66613,1683,1683,PAYMENT,0,0,0
3,66925,340,340,STOCK_LEVEL,0,0,0
3,66961,35,35,PAYMENT,0,0,0
3,66986,25,25,PAYMENT,0,0,0
3,67013,27,27,PAYMENT,0,0,0
3,69092,2479,2479,NEW_ORDER,0,0,0
3,69583,2569,2569,NEW_ORDER,0,0,0
3,71912,2328,2328,NEW_ORDER,0,0,0
3,72201,3109,3109,NEW_ORDER,0,0,0
3,73636,1724,1724,NEW_ORDER,0,0,0
3,75805,3603,3603,NEW_ORDER,0,0,0
3,77622,3986,3986,NEW_ORDER,0,0,0
3,77651,29,29,PAYMENT,0,0,0
3,77980,2175,2175,NEW_ORDER,0,0,0
3,79078,1427,1427,NEW_ORDER,0,0,0
3,81776,3796,3796,NEW_ORDER,0,0,0
3,82064,2985,2985,NEW_ORDER,0,0,0
3,83885,2109,2109,NEW_ORDER,0,0,0
3,85701,3637,3637,NEW_ORDER,0,0,0
3,85737,36,36,PAYMENT,0,0,0
3,87034,3149,3149,NEW_ORDER,0,0,0
3,87061,26,26,PAYMENT,0,0,0
3,87975,2237,2237,NEW_ORDER,0,0,0
3,88000,24,24,PAYMENT,0,0,0
